title,artist,album,year,duration,tags
Rare,Ruth B.,,2019,218685,Nem játszandó;Recurrent 1
Show Me Love (EDX Remix),Sam Feldt,,2017,232222,Recurrent 2
Lost In The Moment,RUBIKA/Kat Adamou,,2019,171595,Recurrent 1;Ritka
Rather Be Alone,Robin Schulz & Nick Martin & Sam Martin,,2019,171966,P1
Spend That Time,Richie Krisak/Ivar Lisinski,,2019,189521,Recurrent 1;Ritka
Decline,RAYE/Mr Eazi,,2017,188267,Recurrent 2;Ritka
Dance With Me Tonight,Olly Murs,,2011,206378,Recurrent 2;Ritka
Love You Forever,Nicky Romero/Stadiumx/Sam Martin,,2019,234660,P1
Beautiful Monster,Ne-Yo,,2010,252052,Gold;Morning
All I Need,Michael Schulte,,2019,190171,Recurrent 1;Ritka
Nice to Meet Ya,Meghan Trainor/Nicki Minaj,,2020,197834,Recurrent 1
Believe,Meek Mill/Justin Timberlake,,2013,211348,Recurrent 2
Old Thing Back,Matoma/The Notorious B.I.G/Ja Rule/Ralph Trevant,,2014,239490,Recurrent 2;Ritka
Home,Martin Garrix/Bonn,,2019,239304,Recurrent 1;Ritka
Green Light,Marlhy,,2019,194351,Nem játszandó;Recurrent 1
Hola Seńorita (Robin Schulz Remix),Maître Gims/Maluma,,2019,175333,Mix;Recurrent 1;Ritka
Outta My Head,Love Harder/Julie Bergan,,2020,157082,Mix;Recurrent 1
Genius,LSD,,2018,218081,Recurrent 1
Helium,Lisa Pac,,2019,202547,Recurrent 1
Modern Loneliness,Lauv,,2019,220055,P1
Got U (Ready or Not),Kokab,,2017,192275,P2
10%,KAYTRANADA/Kali Uchis,,2019,188267,Recurrent 1
Surfin,Kid Cudi/Pharrell Williams,,2016,233662,Recurrent 2
Bárhová,Wellhello,Bárhová,2020,230272,Magyar;Nyár
Impact,SG Lewis/Robyn/Channel Tres,Impact (feat. Robyn & Channel Tres),2020,283469,TOP
Drown,Martin Garrix/Clinton Kane,Drown (feat. Clinton Kane),2020,174126,P1
Mindig idebent,Konyha,Mindig idebent,2020,192702,Magyar
Levitating [The Blessed Madonna Remix],Dua Lipa/Madonna/Missy Elliott,Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix],2020,250334,P1
Love On Myself,"Felix Jaehn, Calum Scott",Love On Myself,2019,169296,Recurrent 1
Easy,Troye Sivan,Easy,2015,226835,Recurrent 2
"Pont olyan, mint rég (A Balaton dala)",Irie Maffia/Fluor,"Pont Olyan, Mint Rég (a Balaton Dala)",2020,187710,Magyar;Nyár
Love Me Land,Zara Larsson,Love Me Land,2020,159869,Recurrent 1
End of Time,K-391/Alan Walker/Ahrix,End of Time,2020,187617,Recurrent 1
In Your Eyes - Remix,The Weeknd/Doja Cat,In Your Eyes (Remix),2020,237958,TOP
Lighter,Nathan Dawe/KSI,Lighter (feat. KSI),2020,182485,Current
Love Story,Nadia Ali,Embers,2009,245133,Gold
Oxygen,Winona Oak/Robin Schulz,Oxygen,2020,192145,Recurrent 1
Something In The Way You Move,Ellie Goulding,Delirium (Deluxe),2017,227485,Recurrent 2
"Kings & Queens, Pt. 2",Ava Max/Lauv/Saweetie,"Kings & Queens, Pt. 2 (feat. Lauv & Saweetie)",2020,176053,P1
Lovefool,twocolors,Lovefool,2020,190542,Current
Grace,Lewis Capaldi,Grace,2018,184946,Recurrent 1;Ritka
Spotlight [VIP Mix] - Extended Mix,Alyx Ander/Dallerium/Kaleena Zanders,Spotlight (feat. Kaleena Zanders) [VIP Mix],2020,222795,TOP
KIDS,Alle Farben/VIZE/Graham Candy,KIDS,2020,184737,TOP
Choices,KREAM/Imanos,Choices,2020,189776,TOP
Smile,Juice WRLD/The Weeknd,Smile (with The Weeknd),2020,196231,Bonus
Summer Jam - Alle Farben Remix,The Underdog Project/Alle Farben,Summer Jam (Alle Farben Remix),2020,188151,Mix;Nyár;Recurrent 1
Háborgó mélység 2,Lotfi Begi/Burai,Háborgó mélység 2,2020,187176,Magyar
WHAT YOU GONNA DO???,Bastille/Graham Coxon,WHAT YOU GONNA DO???,2020,131355,Recurrent 1
Cry,Gryffin/John Martin,Cry (with John Martin),2020,218453,Recurrent 1
On My Mind,Diplo/SIDEPIECE/Purple Disco Machine,On My Mind (Purple Disco Machine Remix),2020,263476,Current
UN DIA (ONE DAY),J Balvin/Tainy/Dua Lipa/Bad Bunny,UN DIA (ONE DAY) (Feat. Tainy),2020,232315,TOP
Be Like That,Kane Brown/Swae Lee/Khalid,Be Like That (feat. Swae Lee & Khalid),2020,191471,TOP
Live Without Your Love (with Steve Lacy),Love Regenerator/Steve Lacy/Calvin Harris,Live Without Your Love (with Steve Lacy),2020,205171,Recurrent 1
cardigan,Taylor Swift,folklore,2020,239629,Recurrent 1
Married In Vegas,The Vamps,Married In Vegas,2020,192957,Recurrent 1;Ritka
Dinner Guest,AJ Tracey/MoStack,Dinner Guest (feat. MoStack),2020,198089,TOP
Somewhere,Surf Mesa/Gus Dapperton,Somewhere (feat. Gus Dapperton),2020,183994,TOP
Brother Louie,VIZE/Imanbek/Dieter Bohlen/Leony,Brother Louie,2019,172524,TOP
Past Life,Trevor Daniel/Selena Gomez,Past Life (with Selena Gomez),2020,186549,TOP
Juliet & Romeo,Martin Solveig/Roy Woods,Juliet & Romeo,2019,204567,TOP
Say My Name,"Dimitri Vegas & Like Mike, Regard, Dimitri Vegas",Say My Name,2020,159590,TOP
Like That,Doja Cat/Gucci Mane,Hot Pink,2019,163236,Bonus
Vampire,Dominic Fike,What Could Possibly Go Wrong,2020,186107,Recurrent 1
NIGHTRIDER,Arizona Zervas,NIGHTRIDER,2020,156432,Recurrent 1
F2020,Avenue Beat,F2020,2020,181905,Bonus
Breaking Me,Topic/A7S,Breaking Me,2019,166858,TOP
UR SO F**KING COOL,TONES AND I,,2020,172640,TOP
Party Girl,StaySolidRocky,Party Girl,2020,147864,Bonus
Closer To You,Julian Perretta,,2020,173778,Recurrent 1
This City,Sam Fischer/Luca Schreiner,This City (Luca Schreiner Remix),2020,176727,Current
Who's Laughing Now,Ava Max,Who's Laughing Now,2020,180395,Current
Sorry,Joel Corry,Sorry,2019,188708,TOP
West Ten,AJ Tracey/Mabel,West Ten,2020,213739,Current
Don't Leave Me,Lost Frequencies/Mathieu Koss,Cup Of Beats,2020,195140,Current
My Oasis,Sam Smith/Burna Boy,My Oasis (feat. Burna Boy),2020,179977,TOP
FIND YOUR WAY BACK,"Beyoncé, Melo-X",The Lion King: The Gift [Deluxe Edition],2019,216386,Recurrent 1
Always,Waze & Odyssey/George Michael/Mary J. Blige/Tommy Theo,Always,2020,186363,Recurrent 1
my future,Billie Eilish,my future,2020,208213,Recurrent 1
Illusions,Stadiumx/Lena Leon,,2020,182415,Magyar;Mix
Jobb lesz holnap,Vad Fruttik,,2018,263221,Magyar;Ritka
Cool Kids,Olympis & Alfons,,2019,135650,TOP
Caution (Clean Bandit Remix),The Killers,,2020,195860,Mix
Dilemma,Sigma,,2019,160171,Recurrent 1
Day 'N' Nite (Martin Jensen Edit),Stefy De Cicco/Ben Hamilton,,2020,165047,Mix
Sunday Best,Surfaces,,2020,159660,Recurrent 1
Natalie Don't,RAYE,,2020,194629,Current
Live Before I Die,Naughty Boy/Mike Posner,,2019,213971,P1
Body On My Mind,Moonshine,,2020,193050,Recurrent 1;Ritka
Let It Go,Matoma/Anna Clendening,,2020,182044,TOP
Live Before I Die (TCTS Remix),Naughty Boy x Mike Posner,,2020,225512,Mix;Recurrent 1
Say Something,Kylie Minogue,,2020,214389,TOP
Who's That What's That,Niko B,Who's That What's That,2020,246851,Bonus
Holiday,Little Mix,,2020,217013,Nyár;TOP
Nobody's Love,Maroon 5,Nobody's Love,2020,211394,TOP
I Need To Know (Pablo's Miami Mix Radio Edit),Marc Anthony,,2009,253399,Gold
Take You Dancing,Jason Derulo,Take You Dancing,2020,192029,Current
Let It Go,Eden Prince,,2020,157826,Mix;Recurrent 1
queen of broken hearts,blackbear,,2020,170527,TOP
Makeba,Jain,,2016,223050,Recurrent 2
Mother (Fedde Le Grand Remix),Charlie Puth,,2019,181998,Mix
Conversations in the Dark,John Legend,,2020,238886,Recurrent 1
Mother,Charlie Puth,,2019,179815,Recurrent 1
Black Heart,Dark Heart,,2020,198786,Recurrent 1
2U (Tujamo Remix),David Guetta/Justin Bieber,,2017,277733,Mix
All On Me,Armin van Buuren/Brennan Heart/Andreas Moe,,2020,177586,TOP
This Is The Life,Amy Macdonald,,2010,196092,Bonus
Dilemma,Addal,,2020,198368,TOP
All On Me (Brennan Heart Extended VIP Mix),Armin van Buuren/Brennan Heart/Andreas Moe,,2020,214018,Mix
Gorgeous,Yuksek/Confidence Man,,2020,225860,TOP
Bad Boy,"Yung Bae, bbno$ & Billy Marchiafava",,2020,187408,Current
Don't Cry For Me,Alok/Martin Jensen/Jason Derulo,,2020,157570,TOP
Clarity,Zedd/Foxes,,2019,271673,Recurrent 1
Tonight Again,Guy Sebastian,,2014,203383,Recurrent 2
Reste,GIMS & Sting,,2018,231595,Recurrent 2;Ritka
Never Alone,"Felix Jaehn, Mesto/VCATION",,2019,176936,Recurrent 2
Godzilla,Eminem/Juice WRLD,,2020,210860,Bonus;Ritka
Anyone,Demi Lovato,,2020,228089,P1
I Got Love,Don Diablo/Nate Dogg,,2017,160380,Recurrent 2
ROSES (Imanbek Remix),SAINt JHN,,2019,177934,Mix;Nyár;TOP
Ébred a város,JumoDaddy &  Lábas Viki & Mc Kemon,,2020,218987,Magyar;Nyár
Love I'm Given,Ellie Goulding,,2020,210256,Recurrent 1
Toosie Slide,Drake,,2020,247106,Bonus
To Be Young,Anne-Marie/Doja Cat,,2020,204498,Recurrent 1
Don't Let Me Down,Milky Chance & Jack Johnson,,2020,200504,TOP
Come & Go,Juice WRLD/Marshmello,,2020,205589,TOP
What's Love Got to Do with It,Kygo/Tina Turner,,2020,208213,Current
I Dare You,Kelly Clarkson,,2020,208306,TOP
Smile,Katy Perry,,2020,210396,TOP
Alane,Robin Schulz & Wes,,2020,175148,Current;Nyár
Together,Sia,,2020,208608,TOP
Lose You,Tiësto/ ILIRA,,2020,149536,TOP
Head & Heart,Joel Corry x MNEK,,2020,166115,Current
Fake Friends,PS1/Alex Hosking,,2020,173847,Current
Sour Candy,Lady Gaga/BLACKPINK,,2020,158778,Bonus
Last Day In Paradise,Alfie Cridland & Paul Kay,,2020,161750,TOP
FEEL THE BEAT,Black Eyed Peas/Maluma,,2020,239304,Current
Hallucinate,Dua Lipa,,2020,208584,Current
Heatstroke,Calvin Harrist/Young Thug/Ariana Grande/Pharrell Williams,,2017,229738,Bonus;Ritka
I Wanna Go,Britney Spears,,2011,210070,Bonus
bury a friend,Billie Eilish,,2019,193329,P1
Dont Call Me Angel,Ariana Grande/Miley Cyrus/Lana Del Rey,,2019,190217,P1
Teeth,5 Seconds of Summer,,2020,201688,P1
Scars To Your Beautiful,Alessia Cara,,2015,230318,Bonus
Level of Concern,twenty one pilots,,2020,220101,TOP
Are You Lonely,Steve Aoki/Alan Walker/ISAK,,2019,160055,TOP
Now You 're Gone,Tom Walker/Zara Larsson,,2019,211487,Recurrent 1
Menedék,Pápai Joci x Tóth Gabi,,2020,227067,Magyar
Rover (Mu la la),S1MBA/DTG,,2019,218221,Bonus
Be Okay,"R3HAB, HRVY",,2020,152206,TOP
Varázslatos Magyarország Csak egy pillanat,"Lábas Viki, Trokán Nóra, Puskás Peti, Buzás Bence",,2020,210024,Magyar
"Lesz, ahogy lesz",Rúzsa Magdolna,,2020,165535,Magyar
Heaven on My Mind,Becky Hill & Sigala,,2020,197021,Current
Anyone But Me,Joy Crookes,,2020,183971,Recurrent 1
Girlfriend,Charlie Puth,,2020,177516,Recurrent 1
Boldog idők,Bagossy Brothers Company,,2020,315977,Magyar
Cold Feet,Loud Luxury,,2020,181998,TOP
Should I Give It All Up,James Blunt,,2020,212485,Recurrent 1
Naked,Jonas Blue/MAX,,2020,212183,Current
Hurricane,Galantis & John Newman,,2020,201897,Current
Újra úton (Nigel Stately & T.O.M),New Level Empire X Majka,,2020,226115,Magyar;Mix
Slow Grenade,Ellie Goulding/Lauv,,2020,218731,TOP
Make It Right,"BTS, Lauv",,2019,260667,TOP
Details,Oliver Heldens/Boy Matthews,,2020,158522,TOP
End This (L.O.V.E.),Hailee Steinfeld,,2020,182230,Recurrent 1
Cheesin',Cautious Clay/Remi Wolf/Still Woozy/Sophie Meiers/Claud/Melanie Faye/ HXNS,,2020,137996,TOP
Wrapped Up,Olly Murs/Travie McCoy,,2014,200016,P2
Találj rám,ZAPOROZSEC,,2019,179768,Magyar;Ritka
Utolsó szelfi,SuperStereo/Dé,,2019,183809,Magyar
Felemel,Ákos,,2019,282610,Magyar
Próbáld még!,Wolf Kati,,2019,215620,Magyar
ÖLELNI SZAVAKKAL,WELLHELLO,,2020,193259,Magyar
Minden Tévedésem,Soulwave/Szakács Gergő,,2019,205775,Magyar
Reggeli dal,Szeder,,2014,186293,Magyar
Haladok,Szakács Gergő,,2020,208050,Magyar
Fekete fehér,Sugarloaf,,2016,217500,Magyar;Ritka
Város,Stolen Beat,,2019,199411,Magyar;Ritka
Súlytalanul,No Sugar,,2019,203778,Magyar
SPANOM,Dzsúdló,,2020,211069,Magyar
Ma jól vagyok,DR BRS x JAZZ+AZ,,2019,191657,Magyar
Napló,Freddie,,2019,191746,Magyar
Egy Van,Kelemen Kabátban,,2019,206657,Magyar
B-oldal,IRIE MAFFIA x FOLLOW THE FLOW,,2020,205798,Magyar
A holnap küszöbé,Follow The Flow,,2020,201572,Magyar
Későre jár,Nene,,2020,182648,Magyar
Csillagtengeren,Intim Torna Illegál,,2019,220148,Magyar
Messzi Földre Vihetné,Republicl/Bagossy Norbert,,2019,216015,Magyar
Maradj Te Is Otthon Igen!,REPUBLIC/Otthon Maradók Köztársasága,,2020,176076,Magyar;Ritka
Száll Az Ének,Republic,,2019,229413,Magyar;Ritka
Aki Egyszer Voltam,APUSKASPETI/THE BIEBERS/BSW,,2019,187779,Magyar
Metro,MEDIX,Metro,2016,214575,Magyar
Tartson örökké,Hooligans/Lotfi Begi,,2016,216758,Magyar;Ritka
Máshol járunk,"Heincz Gábor ""Biga""",,2020,180000,Magyar;Ritka
Nem tudhatom,Fura Csé/Szakács Gergő/Sub Bass Monster,,2020,204056,Magyar
Touch Me,Cooky&Drawen/Király Viktor,,2020,188406,Magyar
Visszajövök,Bagossy Brothers Company,,2019,234057,Magyar
MÁSKÉNT LÁTOM,DENIZ/Orsovai Reni,,2019,225581,Magyar
Hagyd kint,Margaret Island,,2019,204498,Magyar
Visszakér a múlt,Berkes Olivér,,2019,199296,Magyar
Rólad szól,Berkes Olivér,,2019,200341,Magyar;Ritka
Ég és föld,Rúzsa Magdolna/Lotfi Begi/Madarász Gábor,,2014,203778,Magyar
Szédíts másvalakit,Rácz Gergő/Burai Krisztián/Rico,,2019,254571,Magyar
Házszám,Margaret Island,,2019,167462,Magyar
Soul Fire,Király Viktor,,2017,229715,Magyar;Ritka
Promises,Király Viktor,,2020,175634,Magyar
Metróhuzat,Magashegyi Underground,,2010,210070,Magyar;Ritka
Végtelen,Kelemen Kabátban,,2020,221053,Magyar
Valahol,Margaret Island,,2020,182090,Magyar
Mit tehet a sejt,Jazz+Az,,1998,228112,Gold;Ritka
Ez annyira Te,Kasza Tibi/Dér Heni,,2020,180001,Magyar
Stop Us,Loving Arms & George Gleeson,,2020,164165,Magyar
Me Provocas,Dynoro & Fumaratto,,2020,147144,Nyár;TOP
If Youre Too Shy (Let Me Know),The 1975,,2020,239931,TOP
Cooler Than Me,Lucky Luke,,2019,207307,Nyár;TOP
Top Winners,Tinie/Not3s,,2020,179327,TOP
Keep Control (Outwork Remix),Sono,,2020,210744,Nyár
Someone,Jubël,,2020,181208,Nyár;Recurrent 1
Boys Aint Shit,SAYGRACE,,2019,175937,TOP
Daisies,Katy Perry,,2020,176982,TOP
Clandestina,Filv & Edmofo/Emma Peters,,2019,152926,Nyár;TOP
Bésame (I Need You),R3HAB/TINI/Reik,,2020,142570,Nyár;Recurrent 1;Ritka
Blueberry Faygo,Lil Mosey,Certified Hitmaker,2020,163607,Recurrent 1
Summer Feelings,Lennon Stella/Charlie Puth,,2020,161773,Nyár;TOP
On The Beach,Jubël,,2019,200248,Nyár;Recurrent 1
Voices,Hurts,,2020,189776,Current
'HEART ATTACK,BRONSON/lau.ra,,2020,214436,Mix;TOP
King,Years & Years,,2015,214157,Nyár;Recurrent 2
Times Like These,BBC Radio 1 Stay Home Live Lounge,,2020,256046,Bonus
Make Me Feel Better,Alex Adair,,2014,228611,Nyár;Recurrent 2
No Good,Ally Brooke,,2020,189799,Recurrent 1
The Night We Met,Alle Farben,,2019,185736,TOP
"Blood, Sweat & Tears",Ava Max,,2019,194025,Recurrent 2
Underdog,Alicia Keys,,2020,208097,TOP
My Life Is Going On,Cecilia Krull,,2017,212857,Recurrent 1
Hear Me Tonight,Alok & TRHDL!FE,,2020,188963,TOP
Unlove You,Armin van Buuren/Ne-Yo,,2019,152369,Recurrent 1
Better Run,Broken Back,,2016,183971,Recurrent 2
Blame,Calvin Harris/John Newman,,2014,205310,Nyár;Recurrent 2
My Oh My,Camila Cabello/DaBaby,,2020,172315,P1
Don't Leave Me Lonely,Mark Ronson/YEBBA,,2019,216618,Recurrent 1
Good As Hell,Lizzo,,2016,165953,Recurrent 2
In The Air Tonight,Nora En Pure & Lika Morgan,,2020,211974,TOP
Wait for You,Tom Walker,,2020,174265,TOP
Won't Look Back,Duke Dumont,,2014,203453,Recurrent 2
Better Days,OneRepublic,,2020,147237,Recurrent 1
We Got Love (Joel Corry),Sigala/Elle Henderson,We Got Love - Remixes,2019,159677,Mix;Recurrent 1
Like I Can,Sam Smith,,2014,167183,Recurrent 2
Like I Love You,Nico Santos/Topic,,2020,203987,Bonus
Down Like That,KSI/Rick Ross/Lil Baby/S-X),,2019,175519,Bonus
Bittersweet Symphony,GAMPER/DADONI/Emily Roberts,,2019,194699,TOP
Calling On Me,Sean Paul/Tove Lo,,2020,220194,TOP
You Got The Love (New Voyager Radio Edit),The Source/Candi Staton,,2018,193654,Recurrent 1
ROYALTY,ILIRA,,2020,175333,Current
Solo Dance,Martin Jensen,,2017,174962,Recurrent 2
Unfamiliar,Seeb/Goodboys/HRVY,,2020,175821,Recurrent 1
After Hours,The Weeknd,After Hours,2020,242068,Recurrent 1;Ritka
By The River,Klingande/Jamie N Commons,,2019,186897,Nyár;TOP
KISS ME,REA GARVEY,,2018,220705,Recurrent 1
Comeback,Ella Eyre,,2014,200457,Recurrent 2
Bang My Head,KIDDO/JIM OUMA,,2014,138181,Nyár;Recurrent 2
So Good,Louisa Johnson,,2016,190380,Recurrent 1
Panini,Lil Nas X,,2019,115472,P1
So Messed Up,La Lana,,2020,178584,Recurrent 1
Take Care Of You,Ella Henderson,,2020,194304,Current
Lights,Ellie Goulding,,2011,210767,Bonus
BLUE,Tiësto/Stevie Appleton,,2019,167949,Nyár;TOP
No Judgement,Niall Horan,,2020,176332,TOP
Jacques,Jax Jones/Tove Lo,,2019,213066,P2
Bad,Don Diablo/Zak Abel,,2020,169923,TOP
This City,Sam Fischer,,2018,194885,Recurrent 1
Didn't I,OneRepublic,,2020,211231,TOP
Only The Young,Taylor Swift,,2020,158661,TOP
Survive,Don Diablo/Emeli Sandé/Gucci Mane,,2018,190751,Recurrent 1
Neon Sky,Feenixpawl/Mikayla,,2018,216572,P2
CAN'T HOLD US,MACKLEMORE/RYAN LEWIS/RAY DALTON,,2012,262074,Bonus;Nyár
Phone Numbers,Dominic Fike,,2019,146866,Recurrent 1
This is the Place,Tom Grennan,,2020,186015,TOP
HIGHEST IN THE ROOM,Travis Scott,,2019,177284,Bonus
Ride it,Regard,,2019,157663,TOP
Break Up Song,Little Mix,,2020,200481,TOP
Újra úton,New Level Empire X Majka,,2020,207098,Magyar;Nyár
Ride It (Jonas Blue Remix),Regard,,2019,181487,Mix;Recurrent 1
Stars,VIZE/Laniia,,2019,165047,TOP
Thank You [Not So Bad],VIZE/Felix Jaehn,,2020,199529,Recurrent 1
Never Let Me Down,VIZE/Tom Gregory,,2020,153205,Recurrent 1
Boyfriend,Mabel,,2019,223399,TOP
Blinding Lights,The Weeknd,After Hours,2020,203267,TOP
Tattoos Together,Lauv,,2020,185109,Recurrent 1
Boyfriend,Selena Gomez,,2020,162214,TOP
Not Letting Go,Tinie Tempah/Jess Glynne,,2015,230736,Recurrent 2
Memories,Maroon 5,,2019,185274,Recurrent 1
Before You Go,Lewis Capaldi,,2019,216224,Recurrent 1
Some Say (Felix Jaehn Remix),Nea,,2020,186943,Recurrent 1
God Is A Dancer,Tiësto/Mabel,,2019,169598,Recurrent 1
Stack It Up,Liam Payne/A Boogie Wit da Hoodie,,2019,172222,Recurrent 2
Caution,The Killers,,2020,228089,TOP
Drugs,UPSAHL,,2019,156525,TOP
Wanted,OneRepublic,,2019,146332,Recurrent 1
Perfect,Lucas & Steve/Haris,,2020,174172,TOP
React,Pussycat Dolls,,2020,204219,TOP
In Your Eyes,Robin Schulz/Alida,,2020,209629,TOP
The Other Side,SZA & Justin Timberlake,,2020,187059,Recurrent 1
BELIEVE IT,PARTYNEXTDOOR & Rihanna,,2020,183321,Recurrent 1
I Just Wanna Dance,Rat City/Isak Heim,,2020,177679,TOP
In My Bones,Ray Dalton,,2020,190566,TOP
Secrets,Regard/RAYE,Secrets,2020,177052,Current
Hurts 2B Human,P!nk/Khalid,,2019,204846,Recurrent 1
SPEECHLESS,ROBIN SCHULZ/ERIKA SIROLA,,2019,209026,TOP
Mostantól,Rácz Gergő x Orsovai Reni,,2019,211199,Magyar
ily (i love you baby),Surf Mesa/Emilee,,2020,177400,TOP
Own It,Stormzy/Ed Sheeran/Burna Boy,,2019,216618,TOP
death bed (coffee for your head),Powfu/beabadoobee,,2020,173824,Recurrent 1
Falling,Trevor Daniel,,2018,159428,Recurrent 1
Bárhol (Lisbon Remix),Tamáska Gabi x Lotfi Begi,,2019,203151,Magyar;Nyár
Lessons,Stormzy,,2019,187988,P1
Narcotic,Younotus & Janieck & Senex,,2019,192075,P1
The Bender,Matoma & Brando,,2020,185782,Recurrent 1
Born To Love,Meduza/SHELLS,,2020,162330,TOP
Lose Control,Meduza/Becky Hill/Goodboys,,2019,167973,TOP
The Last Time,The Script,,2019,197485,Recurrent 1
2 Hearts,Sam Feldt/Sigma/Gia Koka,,2020,187361,TOP
Never Seen The Rain,Tones and I,,2019,201061,Recurrent 1
Shadows,Stefanie Heinzmann,,2020,190380,TOP
We Got Love,Sigala/Ella Henderson,,2019,215411,P1
Turn Me On,Riton/Oliver Heldens/Vula,,2019,208473,TOP
Bad Child,Tones and I,,2020,221704,TOP
RITMO (Bad Boys For Life),The Black Eyed Peas/J Balvin,,2019,218871,Recurrent 1
Bruises,Lewis Capaldi,,2019,218546,P1
Don't Rush,Young T & Bugsey/Headie One,,2019,207679,Recurrent 1
Someone You Loved,Lewis Capaldi,,2019,186688,P1
Feel Me,Selena Gomez,,2020,225233,TOP
Rare,Selena Gomez,,2020,241046,TOP
Good As Hell,Lizzo/Ariana Grande,,2019,159288,Recurrent 2
Lose You To Love Me,Selena Gomez,,2019,206982,Recurrent 1
To Die For,Sam Smith,,2020,194025,TOP
Used To Love,Martin Garrix/Dean Lewis,,2019,236913,Recurrent 1
How To Be Lonely,Rita Ora,,2020,175264,TOP
Unstoppable,Sia,,2016,220101,Recurrent 1
Be Kind,Marshmello & Halsey,,2020,173708,Current
Don't Let It Break Your Heart,Louis Tomlinson,,2019,207586,Recurrent 1
I'm Ready,Sam Smith/Demi Lovato,,2020,206518,TOP
17,MK,,2017,196696,Recurrent 1
Glue,Lil Halima,,2020,184946,TOP
We Got That Cool,Yves V/Afrojack/Icona Pop,,2019,213577,Recurrent 1
Flowers,Nathan Dawe/Jaykae,,2020,198646,Recurrent 1
Head Shoulders Knees & Toes,Ofenbach/Quarterhead/Norma Jean Martine,,2020,163793,Featured
Trouble,Offaiah,,2016,174056,Recurrent 1
Trampoline,SHAED x ZAYN,,2020,186990,TOP
Dance Monkey,Tones And I,,2019,210837,Nyár;TOP
Better Half of Me,Tom Walker,,2019,197068,Recurrent 1
In Your Eyes,The Weeknd,,2020,238585,P1
Love To Go,Lost Frequencies/Zonderling/Kelvin Jones,,2020,171061,TOP
Nothing Really Matters,Tiësto & Becky Hill,,2020,157593,TOP
The Greatest,Sia/Kendrick Lamar,youtube.com/watch?v=GKSRyLdjsPA,2016,208356,Recurrent 1
Put It All On Me,Ed Sheeran/Ella Mai,,2019,197067,P1
ROCKSTAR,DaBaby/RODDY RICCH,,2020,181835,Bonus
Supalonely,BENEE/Gus Dapperton,,2020,219521,TOP
"Alone, Pt. II",Alan Walker/Ava Max,,2019,177888,Recurrent 1
I'm Just Feelin' (Du Du Du),Imanbek & Martin Jensen,,2020,165209,Mix;Recurrent 1
Power Over Me,Dermot Kennedy,,2018,206262,Recurrent 1
Answerphone,Ella Eyre/Banx & Ranx/Yxng Bane,,2018,195094,Recurrent 1
"10,000 Hours",Dan + Shay/Justin Bieber,,2019,167717,Recurrent 1
Végtelen,Kelemen Kabátban,,2020,221000,Magyar;Nyár
Say So,Doja Cat,,2020,221619,TOP
Lose Somebody,Kygo/OneRepublic,,2020,201131,TOP
me & ur ghost,blackbear,,2020,201456,Recurrent 1
Watermelon Sugar,Harry Styles,,2020,173963,Current;Nyár
Lights Up,Harry Styles,,2019,172361,Recurrent 1
Falling,Harry Styles,,2020,241719,P1
No Time To Die,Billie Eilish,,2020,243391,Recurrent 1
I'll Wait,Kygo/Sasha Sloan,,2020,223283,P1
Better Off Without You,Becky Hill/Shift K3Y,,2020,198042,TOP
Kings & Queens,Ava Max,,2020,160148,TOP
As Far as Feelings Go,Alle Farben & Justin Jesso,,2019,210883,Nyár;Recurrent 1
everything i wanted,Billie Eilish,,2019,246479,P1
Buss Down,Aitch/ZieZie,,2019,211858,Recurrent 1
Yummy,Justin Bieber,,2020,210697,Recurrent 1
Birthday,Anna-Marie,,2020,181510,TOP
Physical,Dua Lipa,,2020,193863,TOP
Intentions,Justin Bieber/Quavo,,2020,224653,TOP
Stupid Love,Lady Gaga,,2020,193654,TOP
Worry About Me,Ellie Goulding/blackbear,,2020,219451,Recurrent 1
Orphans,Coldplay,,2019,202060,Recurrent 1
You Do You,Dillon Francis/BabyJake,,2020,154226,Recurrent 1
Do Si Do,Diplo & Blanco Brown,,2020,174056,Bonus
It's A New Day,Anouk,,2019,178306,P1
Break My Heart,Dua Lipa,,2020,221866,TOP
Forever,Justin Bieber/Post Malone/Clever,,2020,219985,Recurrent 1
Boss Bitch,Doja Cat,,2020,135070,Recurrent 1
Stuck with U,Ariana Grande/Justin Bieber,,2020,229506,TOP
Világom,Compact Disco,,2019,193548,Magyar
Egy van,Kelemen Kabátban,,2019,206608,Magyar
The Power,Duke Dumont/Zak Abel,,2019,198971,Recurrent 1
Future Nostalgia,Dua Lipa,,2020,184227,Recurrent 1
I Love Me,Demi Lovato,,2020,203824,Recurrent 1
Don't Start Now,Dua Lipa,,2019,183344,TOP
Midnight (The Hanging Tree),HOSH/1979/Jalja,,2020,176053,TOP
Over The Rainbow,Amanda Holden,,2020,189683,Recurrent 2;Ritka
After The Afterparty,Charli XCX/Lil Yachty,,2016,224002,Recurrent 2
Broken Love,Gianluca Dimeo,,2019,216665,Mix;Recurrent 1
You Lie,Gianluca Dimeo,,2019,167764,Mix;Recurrent 1
Close Your Eyes,Felix Jaehn/VIZE/Miss Li,,2019,161332,Recurrent 1
Lost Without You,Freya Ridings,,2018,232571,Recurrent 2
Know Your Worth,Khalid/Disclosure,,2020,183066,TOP
If The World Was Ending,JP Sax/Julia Michaels,,2019,210976,TOP
